,subscriber,id,compania,direccion,email,phone
40,False,4be03405a36e4bc4bc4ff6a0932a4853,Arias e Hijos,"Boulevard Sur Cadena 515 Interior 303
San Laura los bajos, GRO 01981-5146",jose-luis91@medrano.com,692-240-8513x597
41,False,4f2d9fd8b16e4954bd3c370df30ffe01,Despacho Morales y Lucero,"Periférico Cintrón 257 Interior 586
San Ofelia de la Montaña, COL 19846",adalberto58@alonso.com,567-235-9137
42,False,74ce558d5fdf421c8062eff1a67ae9ac,Club Montero y Zelaya,"Avenida Robledo 230 848
Vieja Afganistán, OAX 07885-4868",pamela00@rosas.com,259.330.0542x84052
43,True,1f560cce11984787a4a4995639ffa7e0,Proyectos Soria-Galarza,"Corredor Nueva Zelandia 174 129
Vieja Bahamas, MEX 07447",lorenzo76@proyectos.net,(462)315-0176x718
44,False,d9c925306e944d749b3d39c87c133d60,Mota-Barajas y Asociados,"Circunvalación Veracruz de Ignacio de la Llave 413 Interior 016
Nueva Turkmenistán, CHIS 04019",santiago43@mondragon.com,1-871-481-7087x18811
45,True,8169b8cf2b0c4b5d92f5d250ac221cc4,Valentín y Asociados,"Privada Rascón 292 Edif. 874 , Depto. 549
San Daniela de la Montaña, CHIH 38703",lirizarry@club.net,424.231.2477x18008
46,False,0145407d382746219d5bfd327db8deca,Grijalva A.C.,"Avenida Arriaga 844 Edif. 886 , Depto. 927
Vieja Guinea Ecuatorial, CHIH 38821-3204",angel39@corporacin.com,(527)897-6187x15093
47,False,61439892b12f4eac88e038bfd3e936d1,Grupo Pelayo y Zelaya,"Diagonal Burgos 191 861
San Eugenia los bajos, TLAX 52326-8180",amelia74@mondragon.biz,1-919-910-0905x98132
48,True,2d21097d821c4e0c9acf66f2988bdcb0,Medrano-Godínez e Hijos,"Avenida Baja California Sur 930 Interior 730
San Reynaldo de la Montaña, MOR 94350",luis-manuel13@ballesteros.info,1-964-902-1866x4304
49,False,ca4cf574a7de47e7a5e1a15d825fe270,Orta-Quintana,"Calzada Sur Ávalos 572 Interior 401
San Zacarías los bajos, MICH 59442-1323",klomeli@grupo.info,1-228-435-2675x6978
50,True,fb3b03cb5b544b1192fb611c7a156751,Jaime-Meza y Asociados,"Boulevard Olivas 070 Interior 489
Vieja Croacia, DGO 68810-4475",hfarias@ocasio-ruelas.info,1-342-346-2443x4922
51,False,900261d9b705403996ae47d465d9846d,Cepeda S. R.L. de C.V.,"Calle Chiapas 544 Edif. 127 , Depto. 944
Nueva Papua Nueva Guinea, CHIH 51168",vjaramillo@grupo.com,1-075-251-7612x08778
52,True,cd0c20522bf74e2ea9a942e3d9c7d035,"Salgado, Caballero y Castro","Privada Sur Carrero 749 Edif. 593 , Depto. 257
San Carla los bajos, VER 83397",xcisneros@matos.org,111-430-3710x162
53,False,630664a98c824e2fbda1f5cdd9e23125,Acosta e Hijos,"Prolongación Chihuahua 794 Interior 168
Nueva Palau, MICH 30856",ilsebaeza@despacho.com,158-114-1250x09174
54,False,6b45a9611c0b49488160dd6be5d576ba,Frías-Orozco e Hijos,"Viaducto Durango 715 Interior 028
Nueva Dinamarca, NAY 03142-9409",sberrios@despacho.com,033-372-1020
55,True,459c79b0ddf84187a696b710da18b298,de la Rosa-Fonseca A.C.,"Circuito Tejeda 136 Edif. 474 , Depto. 581
Nueva Arabia Saudita, MOR 80489-0943",lauramateo@salas-palomino.com,766-745-1530x601
56,True,0020bb7b093340f5947b02b8f0aaa727,de la Torre y Castañeda S.C.,"Peatonal Norte Alvarado 561 Edif. 223 , Depto. 753
San María Cristina los altos, GTO 41106",flavio37@proyectos.com,510.329.5954x5631
57,False,81c70575d6a0481da59a5cc37600ed46,Laboratorios Valdez-Santacruz,"Calzada Corral 745 Interior 347
San Fernando los altos, VER 69047",lorena05@industrias.com,(527)842-0137
58,False,f8dc6618df5d45f1842800993e33965d,Club Montenegro-Núñez,"Viaducto Sonora 304 372
Vieja Ecuador, BC 99054-2219",esmeralda41@moreno-valverde.biz,1-367-013-9727
59,False,5963a22d378447f3b16db0a672017ca3,Proyectos Salgado y Flores,"Calzada Sur Delgadillo 375 Edif. 762 , Depto. 739
Nueva Senegal, AGS 85686-7066",robledoramiro@mora.com,1-979-523-0198x791
60,True,d2bb4610edb54681a4c886594a706a00,Espino S.A.,"Eje vial Kazajstán 036 727
Vieja Malta, NL 56655",homero28@lugo.com,(357)793-8020
61,False,78d13ac487354ab6a429ffc8b8e801db,Velásquez-Arriaga S.C.,"Calle Tlaxcala 552 Interior 554
Vieja Países Bajos, SON 74804-9796",jrojas@arenas-munguia.com,1-995-709-6458
62,False,85bdc24b41754eefb2e10dd7d437b0db,Fernández y Jáquez A.C.,"Pasaje Díaz 020 854
San María Cristina de la Montaña, SON 06417-6138",kmarrero@ortega.net,1-432-824-7158x648
63,True,0eb3097c82974e3dbd1a130e83aa8ae6,Leiva S. R.L. de C.V.,"Diagonal Zacatecas 504 Edif. 794 , Depto. 751
San Débora de la Montaña, PUE 13167-4563",minervade-la-fuente@veliz-tellez.biz,347.321.7251x8135
64,False,4746d3eaac91458bad418f11f666226b,Feliciano y Lara y Asociados,"Circunvalación Norte Barragán 321 Edif. 378 , Depto. 916
San Estefanía de la Montaña, TAMPS 27239-4561",hernandezestefania@malave.com,09631562621
65,False,29b0f471f96d48dca8c00eb0c612b597,Razo y Alvarez S.A.,"Ampliación Sur Ulibarri 706 Edif. 078 , Depto. 856
Vieja Reino Unido de Gran Bretaña e Irlanda del Norte, ZAC 70268",msolorio@saucedo-castro.com,1-144-727-5615
66,True,2de8a8d651464500bb7c8b6012dfad4c,Marrero y Serrano S.C.,"Continuación Morelos 658 160
San Gerónimo los bajos, CAMP 18538-5720",maximiliano34@segovia.org,370-631-2272
67,True,beff5573a76344fa8b10b2819ed7df6d,Curiel y Menéndez S. R.L. de C.V.,"Continuación Mauritania 098 Edif. 946 , Depto. 497
Vieja República de Moldova, TAMPS 01262",porfirio61@laboratorios.com,708.116.4589
68,True,35f9e2fa9f16457b900b3ef8f1bc2528,Domínguez-Báez,"Continuación Norte Chavarría 734 Edif. 703 , Depto. 700
San Ana Luisa los altos, JAL 43981-8865",gerardoamador@carrasco.com,00007314137
69,False,3d67e9e027c845a19e03bd268c35e124,Alcala-Garrido,"Avenida Ocampo 712 Interior 493
San Amelia los bajos, SIN 08916-6169",qmedina@arenas.net,1-005-561-9307x8995
70,False,219b64bf30b343e4adfea3e6d52579b3,"Club Acevedo, Ávalos y Soto","Privada Botswana 775 Edif. 313 , Depto. 549
Vieja Santo Tomé y Príncipe, JAL 97991",botelloarturo@industrias.com,1-434-846-2151
71,True,3a3cc2eef24e412881d79c2acb4008f6,Rendón y Gallardo S.A.,"Calzada Corona 358 Interior 779
Vieja Nigeria, JAL 58121",cedilloursula@loya.com,289-514-1950
72,False,694b75ace7df46a8a81b8ee3dc47cce5,"Proyectos Preciado, Cervantes y Gamez","Ampliación República Democrática del Congo 117 Interior 033
Vieja Gambia, Q. ROO 35452",canalesdelia@duran-patino.com,680.444.4368x4287
73,False,75b80574547a4228acfb24bb229b79e3,"Madrigal, Mesa y Barrios","Periférico Guinea 278 Edif. 056 , Depto. 922
San Emilia los altos, VER 64241-1851",menendezfrancisco-javier@jaime.info,503.490.1291x18295
74,True,05d6ff9bc0ca4da98c369ba88ea8ffe1,Barrera-Estévez S.A.,"Eje vial Norte Alemán 226 Interior 253
San Hernán los bajos, VER 56782-0965",martin60@grupo.com,657-447-7447
75,True,09793759c8e6448a9e1eb6bd15c20d81,"Industrias Cavazos, Maestas y Tamayo","Pasaje Curiel 032 722
San Ramón de la Montaña, VER 01979-3134",vmedina@vera.com,+69(0)6072999333
76,True,9ecf039dc8d44672aa308afdfbacf24d,"Suárez, Fajardo y Lebrón","Viaducto Sierra Leona 595 Interior 560
San Olivia los altos, COAH 44216-2456",ucedillo@proyectos.net,01585310316
77,True,93d974f16f094bdabc41f74d838e9689,Castañeda S.A. de C.V.,"Peatonal Noruega 156 Interior 680
Vieja Montenegro, ZAC 54848",ichavarria@marquez.biz,(538)914-4043x63852
78,False,7ede1e8485e34d9e85db6ec5fc1d70bc,Corporacin Romero y Berríos,"Eje vial Norte Franco 788 606
San Reynaldo los altos, COAH 70752-1240",olivasolga@quintanilla.com,(385)987-1158x4465
79,True,3478c548f57f4cadaac7ef21eef54673,Pedraza-Ontiveros,"Avenida Eslovaquia 789 Interior 689
San Irma de la Montaña, JAL 65919-3082",gloriasepulveda@leal.biz,04406377895
80,False,a5e020b3b8194375886a271f91b1b2db,"Jiménez, Cano y Ureña","Retorno Yucatán 773 914
Nueva Nueva Zelandia, SLP 03687-6165",cadame@del.biz,(790)039-3731
81,True,795f40073fc64475943a383cee0c4875,"Valdez, Almaraz y Barrera","Cerrada Guerrero 224 Edif. 080 , Depto. 324
San Ángela de la Montaña, NAY 89481-7390",ucavazos@proyectos.org,(310)702-5484x5289
82,False,7390a32c405a49f0b5929ae8ebe906c7,Pineda-Porras,"Pasaje Norte Treviño 658 110
San Pablo los bajos, NAY 09046",vanegasjose-emilio@despacho.biz,08249382218
83,True,b9a341ff329b447eacdff32002479b1f,Becerra-Valladares y Asociados,"Ampliación Norte Díaz 105 474
Nueva Botswana, JAL 04212",oliver36@despacho.org,+58(9)3494296887
84,False,9f7157ee0072401b8e926a10446655b4,Angulo y Aguayo A.C.,"Retorno Suiza 920 Interior 591
San Irene de la Montaña, HGO 29159-7073",covarrubiaslorenzo@flores.com,401.804.4537x276
85,True,cddd55ed49984f3f844e33bf43ecf477,Soto e Hijos,"Calzada Cardenas 093 Interior 492
Nueva Haití, CHIH 62669-7135",paredeskarla@cervantez.com,(243)300-8072
86,False,7cc3a147c44d455284ea0da2fe07f377,"Laureano, Anguiano y Zamora","Calle Bahrein 230 Edif. 607 , Depto. 094
Vieja Djibouti, CAMP 51790-8946",pizarrobarbara@torres.info,1-916-285-2698
87,False,fac7eded540148a2ac8747a1a6e10ae7,"Industrias Bravo, Montez y Carrasco","Eje vial Chipre 125 Interior 453
Vieja Ecuador, SLP 54206-2831",gilberto23@club.com,1-562-425-6332x1578
88,True,f054017d8bf64fa4945646d223d5d6bd,Vigil y Estévez S.A. de C.V.,"Cerrada Maldivas 359 654
San Marisol los bajos, NAY 69493-4580",ilsecortes@grupo.com,657-391-7147x138
89,False,c01130fa305d4aa1b06b41d0ede217eb,Club Zambrano-Solís,"Prolongación Djibouti 631 Edif. 162 , Depto. 779
San Maximiliano los altos, BCS 88240-5904",sergioayala@despacho.com,200-354-7007x66719
90,True,a009b54471634b818e4411038dcef0b2,"Industrias Ontiveros, Urrutia y del Valle","Calzada Sur Leyva 362 Edif. 512 , Depto. 111
Nueva Croacia, VER 34249-3914",covarrubiasangelica@laboratorios.info,605.229.6778x9720
91,False,334aa16d2fe34222b54757277764e13a,"Laboratorios Rosario, Páez y Salcido","Calzada Zacatecas 283 Edif. 672 , Depto. 203
San Antonio los altos, TLAX 01959",fparedes@meza.info,(345)977-7557x890
92,True,92eaed5e5eaf417ea982a4019fe98498,"Despacho Rincón, Baca y Ríos","Eje vial Ballesteros 088 Interior 404
San Darío los altos, NL 45893-8225",yguzman@serrato.net,07341494796
93,False,ed8f0da45b644665bf3ed5b8927cf27b,"Industrias Muro, Ocasio y Calvillo","Ampliación Santana 323 Edif. 725 , Depto. 484
Vieja Cabo Verde, SON 92761",mercedes92@zamora.com,(661)888-2994x61464
94,True,feded823f96643998e83eb45dcef9ec6,"Guerra, Pabón y Hernádez","Andador Norte Salgado 495 Interior 031
San Amalia de la Montaña, Q. ROO 27241",gcasas@rubio.com,954.781.0604x3611
95,False,9e3ab341d7a94c479f4b8d7c855914b4,Industrias Palacios y Tamayo,"Privada Argentina 124 Interior 101
San Ilse los bajos, VER 54999",modesto29@despacho.info,230-148-0038x68571
96,False,269df2da25914cb69660a475dc809c7a,"Industrias Pérez, Urrutia y Ontiveros","Viaducto Aguilera 284 Interior 196
Nueva Jamaica, NL 43123-8685",salmaperales@despacho.com,02142234613
97,True,d319e693489d46a1bd36b95c2f098808,"Pichardo, Estrada y Jáquez","Corredor Parra 986 Edif. 461 , Depto. 568
Vieja India, DF 81785-3009",francisco-javiermejia@oquendo.com,416.905.0833x372
98,False,a3ac4b68e0ce475599eff5d7297fbbf6,Grupo Mena y Altamirano,"Retorno Chile 410 080
San Ana María los altos, Q. ROO 91882-2289",eordonez@saldana.com,328-176-8748x82417
99,True,1aad9c0fb4804154b6dca71093914876,Sánchez y Ramos S.C.,"Circunvalación Sur Linares 493 Interior 908
Vieja República Popular Democrática de Corea, HGO 18322-6896",clongoria@despacho.com,(239)384-9795x12938
100,False,43a3e4e883b94a0b983d4d02df976a7d,Herrera e Hijos,"Calzada Sur Véliz 594 Edif. 471 , Depto. 329
Vieja Venezuela, BC 26253-4021",ozunaomar@corporacin.com,(641)878-3874
101,False,d15b25f5326c42318407b219a44614b7,Lozano-Granados,"Calzada Vargas 343 740
Nueva México, SON 01325",violetamadrigal@barrios.info,1-832-520-3898x0066
102,True,aec93bb60a8a4bcdb106d1b5721f9eac,Macías S.A.,"Calzada Comoras 347 260
San Natalia los bajos, ZAC 59129-4919",suarezliliana@altamirano.info,+88(5)5038869598
103,False,92c462d1911a4c9abe334a1685180b07,Laboratorios Lebrón y Rascón,"Circunvalación Azerbaiyán 768 Interior 017
San Alvaro de la Montaña, AGS 48819",victorbenavidez@bernal-elizondo.net,1-352-756-5476x358
104,True,f66a7d5c495f4ab8b47a1203dbabf5e7,Corporacin Sanches y Muñiz,"Diagonal Norte Córdova 715 676
San David de la Montaña, NL 83490",micaela45@saiz.com,+65(7)6169277603
105,True,4577d9c53e2d48dfb68a55004951f123,Ballesteros y Partida S.A. de C.V.,"Eje vial Archuleta 093 Interior 871
San Jonás de la Montaña, TLAX 81046",esparta29@proyectos.org,(505)345-7162x18540
106,False,5561745bec40425581c6410cfbf3344c,Cepeda S.A.,"Ampliación Reséndez 787 Edif. 658 , Depto. 527
San Alejandra los bajos, MICH 19064",ccedillo@rincon.info,797-463-9379x39989
107,True,35d8e706bd754e35a8edf7453248408c,Vázquez-Ocampo e Hijos,"Periférico Norte Arreola 502 473
Vieja Kenya, SIN 58324",doloresibarra@reyna.com,019-135-5205x351
108,True,06df19e665564ad99f026cd032150441,"Laboratorios Urías, Marroquín y Cazares","Cerrada Sur Carreón 850 Edif. 999 , Depto. 665
San Hernán los bajos, VER 64227",luis63@industrias.com,608.335.6209x4732
109,False,cdf5be3961764db99a85884b008f58ab,Aponte S.A. de C.V.,"Calle Kiribati 588 Interior 283
San Ofelia los bajos, MICH 45301-4225",gulloa@viera.com,1-052-064-5430x5653
110,True,a4354689d4ae476a981bdb27d2471b3a,"Saavedra, Valencia y Salgado","Corredor San Luis Potosí 850 476
San Alicia los bajos, ZAC 68356-1078",estelatrujillo@toro.com,041.900.4351x578
111,True,0bae0dcf46f14a78baa36af10b160ce5,Jaramillo S.A. de C.V.,"Callejón Zambia 311 Interior 072
Vieja San Marino, MOR 62802-6597",lucasmerino@venegas-cornejo.biz,756.905.6145x08380
112,False,708b935b2cb740cb9ff7c82764f947a5,Treviño-Espinoza y Asociados,"Circunvalación Tonga 139 358
Nueva Yemen, PUE 74893",garridoivan@villagomez-bonilla.com,900-984-1953x43738
113,False,8be61d16363b4ca29f7589c78319397a,Industrias Gollum y Pacheco,"Prolongación Guajardo 386 Interior 382
Vieja Kenya, OAX 46284-8195",trinidad40@club.org,+53(0)3150723931
114,True,181c252d318d433da5c96aff0f5aa04d,Grupo Garibay y Gallegos,"Cerrada Vigil 866 Edif. 180 , Depto. 365
San Elias los bajos, BC 29450",mauriciobravo@cintron.com,045.853.0756
115,False,3611890cedd346e2aadf71d4021c1aaf,Olvera y Nava e Hijos,"Prolongación Sur Madera 701 Interior 844
Vieja Nauru, MOR 77652",nievessamuel@industrias.com,222.647.6455
116,False,183886ed36a24193aeedb24fbfe3e0c1,Zambrano-Patiño S.A. de C.V.,"Calle Sur Haro 977 Interior 578
San María Luisa los altos, TLAX 77734-4936",salazarpamela@corporacin.org,777.424.6743x47898
117,False,e6faaa553b8a4d758d6dc90f9a84c7e4,Herrera-Magaña S. R.L. de C.V.,"Calzada Madera 972 Interior 364
Vieja Mali, VER 98937",salgadobernardo@proyectos.com,1-791-032-5165x850
118,False,89a65e6a497348458a52f9246d1a39b5,Olivas S. R.L. de C.V.,"Diagonal Norte Calvillo 528 401
Nueva Lesotho, PUE 93709",abrahamzuniga@club.biz,065-755-8465
119,True,5bba5bf26f8742af926326499e002e8a,Padilla y Tórrez S.C.,"Peatonal Comoras 839 Interior 934
San Samuel los altos, TLAX 45999",trinidad95@reynoso-aranda.com,1-896-037-1263
120,True,8777f41dd1d744e1b149ab74b79a944a,López y Arevalo S.C.,"Continuación Togo 992 Interior 669
San Victoria los altos, SLP 24956",juan46@arroyo-gamboa.com,06058672586
121,False,b93d7941bd0d40029bbbb27efc7e9d70,Lerma S.A. de C.V.,"Prolongación Hidalgo 717 716
San Marisela los altos, JAL 85911-5805",mybarra@escobedo.com,150.817.4849
122,True,353af01e39b949ae8277e5602df71bf7,"Grupo Borrego, Aparicio y Rincón","Andador Jalisco 379 Edif. 921 , Depto. 787
Vieja Bosnia y Herzegovina, DF 76266",abrahamsevilla@robles.com,992-974-4836
123,True,ff9d14064d82421b98d6a4d024c5f9f5,Grupo Vásquez y Guajardo,"Periférico Villa 353 762
San Esther los altos, NAY 52235",wgallegos@vaca-arce.com,1-861-840-5342
124,False,d642816b60234d5893b67763f138ffea,Industrias Loya-Gastélum,"Callejón Muñiz 951 Edif. 833 , Depto. 413
San Isabela los bajos, ZAC 41501",vmontenegro@pabon.com,394.061.7969
125,False,a65c2798c5b24eaebc64e9d99406ac50,Rivero-Zúñiga,"Retorno Azerbaiyán 876 Edif. 869 , Depto. 158
Vieja Filipinas, MOR 68488",qvalencia@benavidez-caldera.com,(693)403-5893
126,True,447965e92e1a4b0a908f6dee85550e8f,Bustos S. R.L. de C.V.,"Circunvalación Tórrez 860 024
San Esparta los altos, SON 16033-5052",vicente11@nino.com,051-083-2472x41594
127,False,5dd6af1337864e2ea92ec3e337d3dd75,Proyectos Calderón y Naranjo,"Pasaje Tabasco 626 Interior 095
San Elena los bajos, HGO 56721",javiercontreras@carmona.info,911.685.4099x0542
128,True,9d2881cb7f0247418bdae0b2fac582b3,"Meraz, Villegas y Sisneros","Eje vial Colombia 935 851
San Patricio los altos, SLP 26687",pnava@rael-corona.com,+71(2)9633784951
129,False,63851dbaafd6419b96d09d2939c2e967,"Estrada, Saldivar y Escobedo","Boulevard Uzbekistán 819 Interior 891
Vieja Indonesia, COL 81653-3946",renemondragon@grupo.info,321-534-9887x3967
130,False,3dbe019941334d538ebe4ec925e75528,Valenzuela-Quintero,"Prolongación Tejada 348 Interior 563
San José Luis los bajos, SLP 68284",maytecordova@proyectos.org,+39(3)2193683634
131,True,534c3e5a29744a0aa687535944c64b50,Arevalo y Asociados,"Circunvalación Grecia 923 Edif. 002 , Depto. 101
Nueva Honduras, AGS 38584",cynthiavaladez@roybal.com,+74(5)0894639427
132,False,ff014de8e4314c0392f195cf133470b2,Madrid y Concepción S.A.,"Corredor Guinea Ecuatorial 946 636
San Alfredo de la Montaña, ZAC 06027",zavalaesperanza@quinones.biz,1-694-221-7910x40845
133,True,752558c6cbf84aae92c0c9bb6bc05067,"Perea, Aguilera y Herrera","Peatonal Soliz 934 Interior 653
San Luis los bajos, NAY 31857",raquel52@corporacin.com,1-529-144-5317
