,subscriber,id,marca,color,placa
49,True,85df6433bbbe46ad9ed3c2d04f8e76c3,citroen,LightGray,ILB458
50,True,e6ed215a8780437d9e9fffcf57367835,mercedes,Coral,XWB093
51,True,9d519fdb317a44c4b99be0c6994e3219,renault,MediumSlateBlue,FZA42J
52,True,3d79f2a00e0c4472b3c7027da2287ba6,nissan,Chocolate,R74549
53,False,72eed2143b194f0fb185197bf21050cf,citroen,LightSteelBlue,EFQ72F
54,False,eb31279f22964456a92967b8df75b4eb,ford,PapayaWhip,TXG422
55,True,b6bee1a3b9c549b6bb7ced709f865d0f,nissan,SteelBlue,BFR912
56,False,db89820697fc448b8ab88f4c7e99f6d6,hyundai,LightSkyBlue,T5179
57,True,2bff2a7fd5ad4e5e86e2c0c41d63543e,citroen,MediumVioletRed,LHE01L
58,False,8664727b20ae4225a6cbb3984505d869,audi,DarkOrchid,YDQ873
59,True,e05093f1f85d45948feae48f13381cc0,bmw,PaleGoldenRod,ENH31V
60,True,a8af03c9f4f147e3881e33ccda7c0774,seat,Orange,WAF17S
61,False,0b4f868d9e1a4b16be63d331a3bfe6e9,hyundai,Salmon,KKP622
62,False,3ca2735f23224f82848c3f2136fe758a,seat,LightCoral,RYI58D
63,False,3103d54320a3466db019c402bf5acaf8,volvo,MintCream,XSQ80L
64,False,14b54ba51bb8463cb0a26c19c1b384e1,audi,SteelBlue,LVI96S
65,True,85165d4e88b84371aff0e90bfc5f582b,bmw,BlueViolet,QNR47H
66,False,db17c835d78e4dcbbdc4c1e6cb82d47b,audi,CornflowerBlue,BMR098
67,True,466ccd94956344dbb73d14810ca461f3,hyundai,Cornsilk,HWS924
68,False,1e47d9e075c64081adb31d8e0fdfbeab,kia,CadetBlue,CTV711
69,True,5abbdfec41924240bfb4b29639bd554e,kia,Beige,APX947
70,True,a4159197ee58459b8f009cbf110ec55b,peugeot,PapayaWhip,S77598
71,False,662a7de9bf6641a582d35d7cb722b7ba,citroen,BlanchedAlmond,RLO961
72,True,a7f515304fc5416dbb6c933d053960ea,volvo,MediumSeaGreen,ACU76Q
73,True,2b7fb3af46af4c309648cd8e141e9213,toyota,DarkGreen,APV067
74,False,c88ecfdd54b9471891d24926cb50fc44,audi,MediumSlateBlue,CZC16L
75,False,0ab6061b620d41aeb07f381ad9225d0c,kia,MistyRose,TBR521
76,False,aace9d86862d40fa9e985ed3ce4e5787,hyundai,DarkGreen,YLK982
77,False,436ad3b7bc8b42319a291913e2b07ea3,bmw,LemonChiffon,FQK58F
78,False,488cae29a6294d87a5fbd8e24f1007bc,citroen,MidnightBlue,R98786
79,True,a7f7ea75f3ab4847ace6e2f43fe76595,kia,LightSlateGray,EOA200
80,False,354784e60c6e416d9f2d735acf5db938,hyundai,DarkBlue,KRC506
81,False,a6502f29d0ba4988a7ce2c00dca66cde,hyundai,CadetBlue,ENA161
82,False,7145b39b265241f8906fdf67863f1a3e,volvo,DimGray,AHV115
83,True,766994bb78914e96b0a034b2c9770f92,mercedes,SandyBrown,RCS814
84,False,9e4f918f88b34d46aa351cd0b2afd358,hyundai,Coral,PYE94K
85,True,bbcb4155caaf453389b2cb92f51a067d,hyundai,Cornsilk,QQL138
86,True,b3139fdc818d446bbd583c4391b8dfbc,ford,OrangeRed,S69180
87,True,20379bce0a804a76956fb4eb62569e25,bmw,DarkSeaGreen,EMY86A
88,False,7e0f1144baaf4e1d8ac570bc3ae42266,bmw,LightGoldenRodYellow,PFG733
89,False,41a48f6cb4e849e88b580e25f90296a0,volkswagen,DarkGreen,IVG921
90,False,a64fc8604e5e4d68bc6832f8e05cd1a3,bmw,LightSteelBlue,WDH615
91,False,b978f61cf9e745be815c62771f41402e,peugeot,SpringGreen,R92737
92,True,939dab7f0964430ea4a51ac6048b38d4,audi,Teal,S63580
93,True,96fefa03a31843c4ab3a352b5d3c706d,nissan,Chocolate,DPC89S
94,True,53fad799229b487893db1adc014d9c97,volkswagen,LightSalmon,ZEG30P
95,False,b786b6ded0ae4510995237fbe963b121,hyundai,Magenta,MLV129
96,True,e41f9a1fc27d460f8cac4fc523ea18af,mercedes,OrangeRed,OCP94Z
97,False,f4f363066bbc4416a59c6f5babb60994,toyota,LightSlateGray,T2819
98,True,2e07f052f273406dba6a6ab063f62007,kia,CornflowerBlue,WVE425
99,True,015c2d52326d47dba092e85385d45388,volkswagen,LightCoral,UBF127
100,True,0e8413220e2c4a1db4af8b3529e8d718,mercedes,SlateGray,TVV97L
101,True,e4f71f03627f4e9ba399a66ddfff6cdb,seat,LightCoral,FSW377
102,True,fc7ea60ac8584e67998e6d7132e91905,hyundai,LightSalmon,NAL158
103,False,d15c70b10f3b41cc9d6459e746d5660b,toyota,AliceBlue,SQL462
104,False,a81847ae261b402ca084118904ae7926,renault,Snow,CWO95D
105,True,0b6462f64df84fb4887e7f705388162b,seat,DarkTurquoise,DGH049
106,False,e28006767a7646fea2f2be097418812e,hyundai,MidnightBlue,DTN39B
107,True,87db71d0c7a04ba99228c16b7fe183f1,nissan,IndianRed,AXJ617
108,False,6945db94ed914b2d977c840f426f3088,peugeot,LightBlue,EOW99X
109,False,94b1748229dd44f9b7d062c7155056f5,kia,MediumBlue,RLL900
110,False,e324575025bf45e7bba1524f2025e567,seat,SteelBlue,GYJ32A
111,True,c143b9547e4f4f15a5cb688cea5ea9f2,hyundai,MintCream,NPD06Q
112,True,ac2c0da14f944da2ace15e7ff8772e83,audi,Bisque,KUI593
113,True,5ba940889dc24e98b4669996366ce844,volvo,Black,VCE842
114,False,66a44f00e34340fea3b424d0ea66f0d1,bmw,IndianRed,TRF010
115,False,17fa41e543c24b28b9d5736c4f3e9022,seat,Pink,ANZ70J
116,True,b75b3fcf15e444ad99a22e5ba5c21d95,kia,Moccasin,HHP51M
117,True,9f4986ef3ae54ef8b0d5bf727fbc1846,peugeot,Fuchsia,S98011
118,True,16c0c41edcb14756b607ab996bee446a,renault,LightCyan,SCX116
119,True,2e162dfd9ea549f4993ee7ca3ebbfd60,seat,Navy,RGO186
120,True,f71d5c6989b64b9789db58807bc767bd,hyundai,DarkSlateGray,LCN154
121,False,d703cb56cd8842ecab337ab2a9c147e6,bmw,Aqua,NNZ43V
122,True,839ec58c0fc64a13afa438ef6caa8145,ford,Orange,TWN693
123,False,d5af3a0235264fb598c0ca54ac6394b2,seat,Crimson,VBM365
124,False,4d5e849295b94e8ea2d9d8a605b4fc07,hyundai,Indigo,POQ413
125,True,57ee46b23a154c649685dec5dd4c5b60,bmw,PowderBlue,PAT340
126,False,ac71d509f7ec4c92bf6bff1b48aede28,volvo,NavajoWhite,CAQ342
127,True,4e899424ddf84afab1295c340d254b67,audi,DarkBlue,ZRE939
128,False,e492be60571c4f1998c441a6c7e1fc8c,peugeot,Maroon,JPO71G
129,False,ce66bfe3f7e34f25b28037a7c9333bcc,toyota,SeaGreen,OMW802
130,True,20e087601b314518a6625c19d5233d59,renault,Plum,AAJ93Z
131,False,da6bbf68157446a5a6c562cbc14c9f61,peugeot,LavenderBlush,UFL66K
132,True,eaa9dddf9b3449e9b8bc6d25e860923d,kia,LavenderBlush,GCS382
133,False,a67655cbe2524a8ab00579bd93f18506,bmw,MediumSlateBlue,BJY84N
134,True,ec9909232bfe4009a226c489265edd77,renault,LightSeaGreen,LHI838
135,False,8892735728df479e83b72eff9a291bba,volvo,Cornsilk,FNK827
136,False,57b1688cbed947b19c413ca89758f35a,bmw,LightCoral,SBJ569
137,True,05eccc3c7cdf484ca673887ad28c8474,toyota,White,UNQ41D
138,False,46ffcf918bfb4210bff5d33fb0b7993c,volvo,MediumTurquoise,ZMO116
139,True,94b6cdd4a57d473ab258155a9e21cfd8,bmw,Aquamarine,ZUJ16X
140,False,edfee566d0c840eb9acb6f909fd4fc76,citroen,BlanchedAlmond,RPY762
141,True,94dcd6060390408abc9c676f0475006d,kia,AntiqueWhite,T0177
142,False,758fc04ad2a84f54b220abe684f54014,ford,DarkSlateBlue,YAE90Q
143,True,ecc5a2fe431a443aa3701d7c21cf39ef,seat,Cyan,LBO502
144,True,783dc1cd42814e37a8ec8903caab9d37,citroen,DeepSkyBlue,R24599
145,True,a9c5156ecc9042ce94ca359a6cebf7d2,hyundai,DarkSlateBlue,S35603
146,True,969f5869f3a84512afd3e2f927fb90ae,toyota,LightSlateGray,SBS14X
147,True,122d5e6aa28e428cab65c84a08113701,ford,LightSlateGray,QVK011
148,True,d079d6ff970142fc9e924f936518e07f,mercedes,DimGray,RJA498
149,True,cce319ef79bb4775b20c09fa65e308dc,audi,SeaGreen,WEN252
150,False,cc955f9f50a84e77ad7a1d0c25d4d7d0,toyota,PeachPuff,ZTK963
151,True,980e7f87c7e74e19a068af65e25cb61a,bmw,MediumTurquoise,NQJ319
152,False,fd709b2e20fe4b70b3544e016f12119e,nissan,Lime,HCD17L
153,True,f18ff64d18e74c5392de5a7d3f97dd4d,renault,MediumPurple,DN2106
154,False,aaf1e46e3a30481297111d90cd455785,seat,Coral,SND21O
155,False,0538faf2cf024041b6ba575eabe21859,ford,OldLace,MCE844
156,False,e4d6fa47e6384e1b9531c3b4c52f4e91,volvo,HoneyDew,JUC11M
157,False,994f8ff8682341a98b3e4df5ab470d25,mercedes,CornflowerBlue,TNI841
158,True,2541598711d140a29dbaf6ad67e06d55,mercedes,LightGoldenRodYellow,OWB02L
159,True,5524b2d09e564621be44ce37356f3cd7,peugeot,Maroon,TSU995
160,False,16afc4f09b04482285cd15fe4c259cf1,hyundai,Tomato,ZUE68K
161,True,5ca55556bd6544b8824935df343936ee,citroen,Azure,UYA497
162,True,c45b44d7855c4622a5f2e1a56793d9eb,mercedes,Gold,EBG748
163,False,c6ac727b3cb340bdbd9ae3b02a651ffe,peugeot,LightSteelBlue,DPW117
164,False,9fbfa99567e74683a359f4cba0666708,ford,MediumPurple,GDZ438
165,True,d3ef54941f684f0db284e80a8c6c82d2,peugeot,GhostWhite,KMU731
166,False,2f73ad2e283d430299356e0e1dba1067,mercedes,SandyBrown,IXV989
167,False,14aeed7f75a5411d93d1c15b3df60e27,volvo,LightSkyBlue,OV2205
168,True,25b60cfdf9fa4026a268538922f08b17,ford,SlateBlue,GKZ84R
169,True,94a649cd45e7445ba234baf075a0d04e,kia,LightSalmon,SVR64M
170,True,f6dcbf7ec6e147e395039a1eb15d846a,hyundai,Yellow,ZCL576
171,False,a7fc945a2c144920a80134af2d8da395,hyundai,Aqua,EQL84N
172,False,e9aecf335d1f4e1eba8c4f44baa03662,kia,Violet,HVD078
173,True,98a20cbd2e144bd2bab683552cdf8ca0,nissan,DodgerBlue,OAN118
174,False,3f473dc2880c4e8290c6aaa4284ff481,toyota,DodgerBlue,DUR773
175,True,867e87b6ac5f4807a3141cc3b8c066d6,renault,BlanchedAlmond,PUQ312
176,True,3178bccf491342769bd63b8eb7ee76b5,volvo,Peru,HIX744
177,True,c9b67abf223b4f87a46453737b2c0250,volkswagen,Coral,BPV957
178,False,0fb7026996134aef82881e586fc17e86,ford,DarkSlateBlue,REV403
179,False,b544cc5e078c4a0f8a5081e363e6ac13,nissan,PowderBlue,FDZ804
180,False,95ba68b8df4f4966add9ac5e8608eea4,volvo,Crimson,VAC207
181,True,f5a6aa6765434877a12e25ae063345b3,citroen,SeaGreen,BQZ698
182,False,3cba5c0c18724353b4aedd69471bf365,renault,DarkGray,QBH907
183,True,6d342d6112a04df38c1a96b2b288bbe8,toyota,Snow,R27083
184,True,e30d8a030b634ab1882e353482bb17ac,bmw,DarkSalmon,DKD265
185,True,41fd0a18fb374d8bb036e6a47876570a,audi,LightYellow,PKO303
186,False,e4d5ffb426fe49fe9d4f880545ad26c4,citroen,Olive,IBO72Y
187,False,13d55c193011486d93d598ddb889bff7,renault,Ivory,HEI072
188,False,2563e151ca7e4245a7ed5d2c484fe40c,toyota,Lime,GWE136
189,False,66a9f2f9daa04796b90c5ba77f846a2b,renault,MediumPurple,QZM571
190,False,3350fdb464794aee9e0ef7bd9687435b,peugeot,SteelBlue,JJW24K
191,True,0540e86fc11f4a96927a74115ede996f,seat,Linen,XBY009
192,False,f5cddc67d61e4f9eb6eaa3f41d4fc669,volvo,Crimson,LAO897
193,False,9015af33bda344939e09a18a05e86a63,bmw,SkyBlue,RAW210
194,False,a7cffe5bc36f4efb8c7d935bdc0e36cc,nissan,Red,KQF812
195,True,f149ada389b842c4844b361af0dbfbe6,audi,SeaGreen,S16007
196,True,dc083e783e2442389b497d5bdae7d3ae,nissan,DarkCyan,QDQ652
197,False,0eb1ccb05f124b0d8199c5bae56bc8b6,renault,Beige,BTT400
198,False,4828e3f6f23c4d059ae607239f87b269,hyundai,Teal,FPD026
199,True,3d101cd026334962a9fcff6041c3e2ab,nissan,DarkOliveGreen,T0006
200,False,b095f233577a4afe9dd1828257701323,volkswagen,DarkMagenta,HVW53Y
201,False,3a48d293158d4fe9babe6c7274c68b22,volkswagen,Green,VIU527
202,False,de45e9995e924fbfbeda6c522fc61c6c,volvo,SlateBlue,QLO892
203,False,077e0400574d4ce38c8c3b930f813942,kia,AntiqueWhite,WGF575
204,True,987424c5d0314840a86f9eeed156a823,ford,DarkOrange,S72131
205,False,de278de4616b43378cbdd988947cc0dd,renault,Maroon,GET22U
206,True,b8b28fd7b3be4f04988a917776c62153,peugeot,Maroon,IEL805
207,True,207d21e93c964fc4b2a6701743b53e8c,mercedes,Olive,MWD517
208,True,59c824bc7e044715b9caec8462ee6439,peugeot,RosyBrown,OAN70B
209,False,f5b3303a27254ca497f8c4e67242eb23,toyota,DarkMagenta,EEF116
210,True,25f21f0d7268482daaed637e309f5a15,seat,DarkOliveGreen,TQK230
211,True,a14302cf32e6494590349417cb4fb782,renault,MediumAquaMarine,S37016
212,True,fb60c85781cd48bfa6aa4159974a8b26,mercedes,Linen,R38461
213,False,7da114704de147a8973f8b4f99c90ab6,hyundai,LightCoral,VNY452
214,True,772201bb0c94453fa95dc33985fe1274,nissan,Azure,UDE71U
215,True,aec1ed438f31443f8b1e404750b28025,citroen,Teal,SDN62U
216,True,02e1eee8db0c43418e7bb7c9852fdb45,mercedes,LightGreen,S55644
217,True,854883bdd0c44074a246dfab6cdb2d5e,hyundai,DarkSlateBlue,OXP845
218,False,1276f24e64884de19ff5fe40f7a9819e,volvo,LightSalmon,TAK82K
219,False,340e30437c96437ebcb208d759482ce5,mercedes,MidnightBlue,JZL255
220,True,531a5d50b37c473caa3d2509ab5699e5,citroen,SeaShell,YKV876
221,False,848833494d06481d972e27fd3d6180a2,ford,OliveDrab,MQX59C
222,True,02a2af24e18d455c9c698ec1cf620e7d,hyundai,MediumBlue,SQT631
223,True,73dd23e50c7c47e18a0229fbfba46f80,renault,YellowGreen,BUE40I
224,True,3a82bea0164744c7970a1877aa61286f,mercedes,Brown,R69265
225,False,350b510337e84d11b354e8dbfba11777,volvo,Indigo,HUE97L
226,False,72c49315bf1b4bd8a9095576d1151caf,toyota,FloralWhite,CES22M
227,False,492c204b957647a481a1837f230db9e8,audi,LightSeaGreen,YUW582
228,True,50abd1386dc840299f983aacf95a1e5a,nissan,DarkSlateBlue,GYJ08U
229,True,cb85abd29d61418fb8aee42153b7d82c,nissan,LightCoral,SCY570
230,False,7c262e2a049e4414ac5c68552aec3bc4,hyundai,MintCream,DYI31R
231,True,bc4a17e65f4849c4bf07fb5db6cc620d,nissan,SkyBlue,QVH467
232,True,66617c18c73f47428b0aa3b860cedaa7,bmw,BurlyWood,LNI085
233,True,81f932c95c0240bf9a4767e769b98f63,ford,DimGray,PMT199
234,False,dc175ea8cf7f49d9a0bb0ecb19918381,kia,PaleGoldenRod,WWU983
235,True,b2fb0537d25f4bd59226b4ecd04e3b46,volkswagen,Yellow,IBS167
236,False,fac263ae2fa7442b8b807cff0b629fae,mercedes,LightPink,S14916
237,False,33a9981b713e4d3f9af9511672d236a9,ford,CornflowerBlue,R62328
238,True,1cccef06593946248d1b48fa99aa91f0,kia,SandyBrown,YXX62E
239,True,fe124941c5e947f6873d1ac25afe2f23,hyundai,CornflowerBlue,TET218
240,True,6df7962bbe5e4932bd706fa02655c476,volkswagen,Gainsboro,VI6879
241,False,0d50310de0194e80b616d00503d8f3f7,kia,IndianRed,PNU36K
242,True,616a2815ca98467db56d71016ccf1908,peugeot,Salmon,MYR86X
243,False,69ca22efbc5f41319c92fcb15165f71b,bmw,Aqua,QXJ91D
244,True,3ad2bd25bca64f06940c63e562201e2f,ford,Blue,R31998
245,False,7c61128ea2524f68b4f96fe1b1cf71ff,nissan,Fuchsia,PKB36T
246,True,b6866f3ab6ef4ef8a7456f9d34371615,ford,LightSlateGray,ATJ652
247,True,b11f6b2dfdff47d18f8d35fc0b232234,audi,Pink,T1210
248,True,8abd86db6c1c4c98a6333369a43bb8a7,volvo,MidnightBlue,HIF91K
249,False,b9534101f86548729e070db1c870d3b0,hyundai,OldLace,PWP21J
250,False,eadd414276a8422b90d9099c5d5fb975,citroen,AliceBlue,S60242
251,True,7733799cb2ba4b0e8a4c0c5e9de15634,renault,Magenta,HCK629
252,False,b268a3f5e1784eda980be03ac2f9c593,bmw,Azure,APL596
253,False,9734fe42bf9749808a50172e446bd4f5,hyundai,MistyRose,ZSD57X
254,False,277e4dfa13a04c66b75cb634f884735f,nissan,LemonChiffon,ORC761
255,False,ba85528261c74db798e6929a1b3dfd7d,audi,Cyan,XSA93G
256,False,1b604a47f5584c64af9c0d53b2d083d0,peugeot,CornflowerBlue,UUM97X
257,True,12c82330d0d74a24bfceef02b5abda0e,seat,GoldenRod,WSK365
258,False,d3df8d8621de4cf6b65d596c2683d1ea,nissan,FloralWhite,HIC356
259,True,71aac582f220415cbb91dc80941ae47e,peugeot,LightGray,R69731
260,True,33fe2ad341234d6890f003de92cc1103,volkswagen,RoyalBlue,LBB58D
261,True,04bbf019c6cd4904b67bddee9862dcc0,kia,Gray,SOY512
262,True,93b27052d5e34e689a7408a5ead4d44e,citroen,Gold,MGK396
263,False,75869465408345c1b0604e68a2f63feb,hyundai,Yellow,DEK257
264,True,b79db37c393d47228c8d5b52d19180b0,mercedes,Moccasin,FOW476
265,True,07aa62db58474e6c9305d95ccc45df9d,hyundai,FloralWhite,WXE78K
266,True,7a09b30565cb443da351d572127b0b11,nissan,DarkKhaki,IPX906
267,True,5887280df06542bd93794982e21bcb8f,mercedes,SteelBlue,JVZ198
268,True,92b50d683bbe471891c3fe01c9bd8d98,citroen,Pink,R66048
269,True,080d54c53f8843feb830f30fccbc5759,nissan,LightSeaGreen,IUU592
270,False,85c7a3d6b79c449e93e206366f057771,seat,LightSkyBlue,HJA50M
271,True,6b8cb9f2324e4e23971c37e029fae5c4,mercedes,Blue,DWT37Z
272,False,4041ad1f6a9d40cea1ca96508f862c2d,volkswagen,NavajoWhite,YGD164
273,True,7869ee095ebb47b0a8fd133d937068ad,ford,YellowGreen,KSV395
274,True,2ba48dd7a95e4a108b20416d0387ef51,peugeot,LightSlateGray,THQ08G
275,False,74dd005cc2d9412693e901425b1b6daf,nissan,DarkKhaki,S42567
276,True,61509c15e9d9408bb112c30b7f10859a,peugeot,Fuchsia,GYG936
277,True,811599a72ddb4e488fe2537f91ab9721,audi,LawnGreen,DWR21Z
278,True,e729b620e8a34a1990e0ec0b2329bb2b,nissan,Thistle,YDF29R
279,True,972bf4b869774125908af79049e1f374,seat,Peru,OOT298
280,True,3e35443b7a8c4daab870592fad4d80c0,volkswagen,Ivory,WXO883
281,True,cf3b02cb18ba405c8bf8c5eeaa4de2d9,peugeot,LemonChiffon,UXG279
282,True,ebf70e73bf704e068e46be4549cda016,toyota,Chocolate,OQL813
283,True,85aff81632a54c64b892131cef689630,nissan,Yellow,RSU274
284,False,0d26d5e9ccd24e049ed693280e32e5b8,audi,IndianRed,OSW96J
285,False,fc4069e992744374b18c96d0ee890799,mercedes,Indigo,TUP240
286,False,12c621a25ec44ce7bbaa09d23abf7325,seat,MidnightBlue,YRG487
287,True,e40d82f121184f219f2e82692c745b69,ford,MediumBlue,RUN16Y
288,True,9767b3e06d154eaaac711c9dbbb0c3b2,toyota,Turquoise,TF0718
289,False,5e53de4b99eb4d0da64f000903154637,seat,PaleTurquoise,KAZ854
290,True,de9aaa19ff814c1db80c878b41ada407,citroen,LightGoldenRodYellow,RCJ44L
291,True,ba39294326a045cdb0c9c8c4b8bfca2e,bmw,MediumSlateBlue,HAB322
292,True,f24a34861f42471185c0bac427ccfa09,kia,PeachPuff,OQG750
293,True,890cee557b6241159e3ff41ac44fea77,renault,Black,KUC466
294,True,8d3a9ca032274ed59a7e783322cec269,seat,RosyBrown,TBN046
295,True,1a2234a7c1b842ce8ff27d537c0a89c4,kia,GoldenRod,JFG082
296,True,9826b19bdfa94df4913ac0683513165c,kia,Indigo,R27046
297,True,ad262b6f9c3c4b0ab27b0fc88934a45b,toyota,Pink,SGL238
298,False,8f78c570fed2478a8f31494c07f70c86,renault,Fuchsia,LUL530
299,True,fbc60c832a414d9684e06fb62520cc76,renault,SteelBlue,UJB01D
300,False,3d63480a288c46d7981a76d5ee1a3c90,ford,BurlyWood,ACK054
301,True,7b5913f6930a4f38a20b0bcd38debb3e,audi,Aquamarine,QVX020
302,True,243e4cbde2d2446f8d1de79b5433a3fc,ford,Violet,S60901
303,False,d89355ffce04406d848ca68977b7cd8f,kia,Pink,S46776
304,False,dc9fd0b13d164e389ef4721611e7649b,volkswagen,RosyBrown,KOU919
305,False,76d9552d6b7d49749c1a117ac131ecb4,mercedes,LightSkyBlue,FQG806
306,False,cbdc64022bfb402593589bbdf3e9d5d9,mercedes,Yellow,AMI478
307,True,099d46df8ce74eea9d780fdf639e5cf5,nissan,SlateGray,T0774
308,True,7a0a9466917c40c9bf7ba5f1558a4399,nissan,Gray,PIV55B
309,False,505e35c89eeb4a299317587395e95680,citroen,Sienna,VDK726
310,True,114867143ba14745a485731fc063a176,bmw,DarkBlue,PBJ50T
311,True,a35c001428ac41d582ac622e3e950547,ford,Gold,QFN524
312,True,415359f77c504dfb8bc12b71c631fad9,ford,Salmon,BRU02R
313,True,7310abc7290f4cd6bf29b673e17efa71,volvo,PaleTurquoise,HXU064
314,True,d1aaddefe7f14bb89c50dace0ba6d95e,audi,Silver,UMS772
315,False,09b4908e00f84d389dcd56fce23b8ccf,audi,SeaGreen,S64637
316,True,73e083f8f73e4d5590e06db97eaf7ff9,mercedes,HoneyDew,NRM983
317,True,ede66dcb84ec4b3da781ec7c5cfa7049,hyundai,SteelBlue,AOS27B
318,False,59674ee6c5b14bdd8427abb7e961165f,audi,BlanchedAlmond,CFC550
319,False,49819043ecca40ac86108b261f951f1d,seat,Lime,T0928
320,False,7d18a16938474bbe92d4332788793449,nissan,Brown,RRU215
321,False,b2aa800f0d32417f8f442389bed03835,kia,Silver,GVG010
322,True,68a589a203364e67ab389318c1186df4,ford,Cornsilk,COS360
323,False,64acb992c35841aea9a47554663f8a37,peugeot,Chocolate,PLX17R
324,True,6ac070a4aa1246089f801b000516cf6c,nissan,HoneyDew,UTS428
325,True,337ac659f2074e76a0741ec31ae58b88,hyundai,MediumTurquoise,TID103
326,True,e526348c8d8d4db0a3682859531fdb28,volvo,Linen,VOM52Z
327,False,ab05e7eb4d43427fa7b84842d865bb66,toyota,YellowGreen,ZBQ699
328,False,92fc3f697e2c4a5ea66b73a72f768a5a,nissan,YellowGreen,ZVG965
329,True,bd56ee0195bf4334a0314bc1f907f64c,hyundai,Maroon,UBW74I
330,False,64b44298788a41f88eaedb384d9dcfd8,toyota,Khaki,UVI570
331,False,4d9276e63cb84586a87ead6246f44279,peugeot,PapayaWhip,KHG659
332,True,a86d24f3d903461a8703b3be8df2949b,audi,DarkOliveGreen,WNM386
333,True,108fedaf16b747adb48a93745ccf0323,volkswagen,Pink,BEY75X
